icpsr,bioname,party,state_abbrev
99902,"KENNEDY, John Fitzgerald",Democrat,USA
4418,"HILL, Joseph Lister",Democrat,AL
8764,"SPARKMAN, John Jackson",Democrat,AL
486,"BARTLETT, Edward Lewis (Bob)",Democrat,AK
3864,"GRUENING, Ernest Henry",Democrat,AK
3658,"GOLDWATER, Barry Morris",Republican,AZ
4227,"HAYDEN, Carl Trumbull",Democrat,AZ
3388,"FULBRIGHT, James William",Democrat,AR
6151,"McCLELLAN, John Little",Democrat,AR
2965,"ENGLE, Clair",Democrat,CA
5372,"KUCHEL, Thomas Henry",Republican,CA
142,"ALLOTT, Gordon Llewellyn",Republican,CO
1540,"CARROLL, John Albert",Democrat,CO
1329,"BUSH, Prescott Sheldon",Republican,CT
2636,"DODD, Thomas Joseph",Democrat,CT
823,"BOGGS, James Caleb",Republican,DE
10163,"WILLIAMS, John James",Republican,DE
4520,"HOLLAND, Spessard Lindsey",Democrat,FL
8593,"SMATHERS, George Armistead",Democrat,FL
8138,"RUSSELL, Richard Brevard, Jr.",Democrat,GA
9174,"TALMADGE, Herman Eugene",Democrat,GA
3255,"FONG, Hiram Leong",Republican,HI
5764,"LONG, Oren Ethelbirt",Democrat,HI
1721,"CHURCH, Frank Forrester",Democrat,ID
2803,"DWORSHAK, Henry Clarence",Republican,ID
10807,"JORDAN, Leonard Beck (Len)",Republican,ID
2609,"DIRKSEN, Everett McKinley",Republican,IL
2691,"DOUGLAS, Paul Howard",Democrat,IL
1489,"CAPEHART, Homer Earl",Republican,IN
4154,"HARTKE, Rupert Vance",Democrat,IN
4382,"HICKENLOOPER, Bourke Blakemore",Republican,IA
10812,"MILLER, Jack Richard",Republican,IA
1510,"CARLSON, Frank",Republican,KS
8270,"SCHOEPPEL, Andrew Frank",Republican,KS
10817,"PEARSON, James Blackwood",Republican,KS
2052,"COOPER, John Sherman",Republican,KY
6745,"MORTON, Thruston Ballard",Republican,KY
2901,"ELLENDER, Allen Joseph",Democrat,LA
5767,"LONG, Russell Billiu",Democrat,LA
6831,"MUSKIE, Edmund Sixtus",Democrat,ME
8666,"SMITH, Margaret Chase",Republican,ME
546,"BEALL, James Glenn",Republican,MD
1341,"BUTLER, John Marshall",Republican,MD
8185,"SALTONSTALL, Leverett",Republican,MA
10822,"SMITH, Benjamin A., II",Democrat,MA
4148,"HART, Philip Aloysius",Democrat,MI
6366,"McNAMARA, Patrick Vincent",Democrat,MI
4728,"HUMPHREY, Hubert Horatio, Jr.",Democrat,MN
6134,"McCARTHY, Eugene Joseph",Democrat,MN
2822,"EASTLAND, James Oliver",Democrat,MS
8883,"STENNIS, John Cornelius",Democrat,MS
5756,"LONG, Edward Vaughn",Democrat,MO
9141,"SYMINGTON, William Stuart (Stuart)",Democrat,MO
5967,"MANSFIELD, Michael Joseph (Mike)",Democrat,MT
6442,"METCALF, Lee Warren",Democrat,MT
2267,"CURTIS, Carl Thomas",Republican,NE
4660,"HRUSKA, Roman Lee",Republican,NE
688,"BIBLE, Alan Harvey",Democrat,NV
1482,"CANNON, Howard Walter",Democrat,NV
1027,"BRIDGES, Henry Styles (Styles)",Republican,NH
2087,"COTTON, Norris H.",Republican,NH
10815,"MURPHY, Maurice J., Jr.",Republican,NH
1569,"CASE, Clifford Philip",Republican,NJ
10147,"WILLIAMS, Harrison Arlington, Jr.",Democrat,NJ
165,"ANDERSON, Clinton Presba",Democrat,NM
1678,"CHAVEZ, Dennis",Democrat,NM
4898,"JAVITS, Jacob Koppel",Republican,NY
5116,"KEATING, Kenneth Barnard",Republican,NY
2987,"ERVIN, Samuel James, Jr.",Democrat,NC
5073,"JORDAN, Benjamin Everett",Democrat,NC
1252,"BURDICK, Quentin Northrup",Democrat,ND
10450,"YOUNG, Milton Ruben",Republican,ND
5500,"LAUSCHE, Frank John",Democrat,OH
10454,"YOUNG, Stephen Marvin",Democrat,OH
5213,"KERR, Robert Samuel",Democrat,OK
6597,"MONRONEY, Almer Stillwell Mike",Democrat,OK
6738,"MORSE, Wayne Lyman",Democrat,OR
6881,"NEUBERGER, Maurine Brown",Democrat,OR
1776,"CLARK, Joseph Sill",Democrat,PA
8301,"SCOTT, Hugh Doggett, Jr.",Republican,PA
7229,"PASTORE, John Orlando",Democrat,RI
10818,"PELL, Claiborne de Borda",Democrat,RI
5009,"JOHNSTON, Olin DeWitt Talmadge",Democrat,SC
99369,"THURMOND, James Strom",Democrat,SC
1570,"CASE, Francis Higbee",Republican,SD
6796,"MUNDT, Karl Earl",Republican,SD
10801,"BOTTUM, Joseph H.",Republican,SD
3704,"GORE, Albert Arnold",Democrat,TN
5122,"KEFAUVER, Carey Estes",Democrat,TN
777,"BLAKLEY, William Arvis",Democrat,TX
10414,"YARBOROUGH, Ralph Webster",Democrat,TX
10823,"TOWER, John Goodwin",Republican,TX
645,"BENNETT, Wallace Foster",Republican,UT
6754,"MOSS, Frank Edward (Ted)",Democrat,UT
52,"AIKEN, George David",Republican,VT
7637,"PROUTY, Winston Lewis",Republican,VT
1365,"BYRD, Harry Flood",Democrat,VA
7958,"ROBERTSON, Absalom Willis",Democrat,VA
4851,"JACKSON, Henry Martin (Scoop)",Democrat,WA
5913,"MAGNUSON, Warren Grant",Democrat,WA
1366,"BYRD, Robert Carlyle",Democrat,WV
7722,"RANDOLPH, Jennings",Democrat,WV
7638,"PROXMIRE, William",Democrat,WI
10110,"WILEY, Alexander",Republican,WI
6249,"McGEE, Gale William",Democrat,WY
10806,"HICKEY, John Joseph",Democrat,WY
